point_sn,signal_code,signal_description,signal_type,measure_type,measure_location,station_sn,pipeline_sn
point_sn_232,,,,11,measure_location_232,station_sn_1,pipeline_sn_1
point_sn_366,,,,9,measure_location_366,station_sn_2,pipeline_sn_1
point_sn_160,,,,7,measure_location_160,station_sn_1,pipeline_sn_1
point_sn_1040,,,,3,measure_location_1040,station_sn_4,pipeline_sn_1
point_sn_141,,,,5,measure_location_141,station_sn_1,pipeline_sn_1
point_sn_813,,,,14,measure_location_813,station_sn_3,pipeline_sn_1
point_sn_877,,,,10,measure_location_877,station_sn_3,pipeline_sn_1
point_sn_328,,,,5,measure_location_328,station_sn_1,pipeline_sn_1
point_sn_870,,,,3,measure_location_870,station_sn_3,pipeline_sn_1
point_sn_678,,,,15,measure_location_678,station_sn_2,pipeline_sn_1
point_sn_1487,,,,8,measure_location_1487,station_sn_5,pipeline_sn_1
point_sn_953,,,,1,measure_location_953,station_sn_3,pipeline_sn_1
point_sn_990,,,,4,measure_location_990,station_sn_3,pipeline_sn_1
point_sn_851,,,,1,measure_location_851,station_sn_3,pipeline_sn_1
point_sn_872,,,,5,measure_location_872,station_sn_3,pipeline_sn_1
point_sn_234,,,,13,measure_location_234,station_sn_1,pipeline_sn_1
point_sn_344,,,,4,measure_location_344,station_sn_1,pipeline_sn_1
point_sn_23,,,,6,measure_location_23,station_sn_1,pipeline_sn_1
point_sn_1093,,,,5,measure_location_1093,station_sn_4,pipeline_sn_1
point_sn_882,,,,15,measure_location_882,station_sn_3,pipeline_sn_1
point_sn_368,,,,11,measure_location_368,station_sn_2,pipeline_sn_1
point_sn_1456,,,,11,measure_location_1456,station_sn_5,pipeline_sn_1
point_sn_1453,,,,8,measure_location_1453,station_sn_5,pipeline_sn_1
point_sn_1409,,,,15,measure_location_1409,station_sn_5,pipeline_sn_1
point_sn_263,,,,8,measure_location_263,station_sn_1,pipeline_sn_1
point_sn_274,,,,2,measure_location_274,station_sn_1,pipeline_sn_1
point_sn_259,,,,4,measure_location_259,station_sn_1,pipeline_sn_1
point_sn_992,,,,6,measure_location_992,station_sn_3,pipeline_sn_1
point_sn_1462,,,,17,measure_location_1462,station_sn_5,pipeline_sn_1
point_sn_1303,,,,11,measure_location_1303,station_sn_4,pipeline_sn_1
point_sn_948,,,,13,measure_location_948,station_sn_3,pipeline_sn_1
point_sn_711,,,,14,measure_location_711,station_sn_3,pipeline_sn_1
point_sn_7,,,,7,measure_location_7,station_sn_1,pipeline_sn_1
point_sn_1319,,,,10,measure_location_1319,station_sn_4,pipeline_sn_1
point_sn_380,,,,6,measure_location_380,station_sn_2,pipeline_sn_1
point_sn_886,,,,2,measure_location_886,station_sn_3,pipeline_sn_1
point_sn_1155,,,,16,measure_location_1155,station_sn_4,pipeline_sn_1
point_sn_62,,,,11,measure_location_62,station_sn_1,pipeline_sn_1
point_sn_1421,,,,10,measure_location_1421,station_sn_5,pipeline_sn_1
point_sn_836,,,,3,measure_location_836,station_sn_3,pipeline_sn_1
point_sn_1047,,,,10,measure_location_1047,station_sn_4,pipeline_sn_1
point_sn_1117,,,,12,measure_location_1117,station_sn_4,pipeline_sn_1
point_sn_1245,,,,4,measure_location_1245,station_sn_4,pipeline_sn_1
point_sn_70,,,,2,measure_location_70,station_sn_1,pipeline_sn_1
point_sn_761,,,,13,measure_location_761,station_sn_3,pipeline_sn_1
point_sn_1005,,,,2,measure_location_1005,station_sn_3,pipeline_sn_1
point_sn_1012,,,,9,measure_location_1012,station_sn_3,pipeline_sn_1
point_sn_33,,,,16,measure_location_33,station_sn_1,pipeline_sn_1
point_sn_864,,,,14,measure_location_864,station_sn_3,pipeline_sn_1
point_sn_1237,,,,13,measure_location_1237,station_sn_4,pipeline_sn_1
point_sn_89,,,,4,measure_location_89,station_sn_1,pipeline_sn_1
point_sn_633,,,,4,measure_location_633,station_sn_2,pipeline_sn_1
point_sn_647,,,,1,measure_location_647,station_sn_2,pipeline_sn_1
point_sn_1038,,,,1,measure_location_1038,station_sn_4,pipeline_sn_1
point_sn_552,,,,8,measure_location_552,station_sn_2,pipeline_sn_1
point_sn_373,,,,16,measure_location_373,station_sn_2,pipeline_sn_1
point_sn_45,,,,11,measure_location_45,station_sn_1,pipeline_sn_1
point_sn_875,,,,8,measure_location_875,station_sn_3,pipeline_sn_1
point_sn_916,,,,15,measure_location_916,station_sn_3,pipeline_sn_1
point_sn_209,,,,5,measure_location_209,station_sn_1,pipeline_sn_1
point_sn_812,,,,13,measure_location_812,station_sn_3,pipeline_sn_1
point_sn_474,,,,15,measure_location_474,station_sn_2,pipeline_sn_1
point_sn_850,,,,17,measure_location_850,station_sn_3,pipeline_sn_1
point_sn_249,,,,11,measure_location_249,station_sn_1,pipeline_sn_1
point_sn_282,,,,10,measure_location_282,station_sn_1,pipeline_sn_1
point_sn_4,,,,4,measure_location_4,station_sn_1,pipeline_sn_1
point_sn_329,,,,6,measure_location_329,station_sn_1,pipeline_sn_1
point_sn_734,,,,3,measure_location_734,station_sn_3,pipeline_sn_1
point_sn_712,,,,15,measure_location_712,station_sn_3,pipeline_sn_1
point_sn_74,,,,6,measure_location_74,station_sn_1,pipeline_sn_1
point_sn_742,,,,11,measure_location_742,station_sn_3,pipeline_sn_1
point_sn_1192,,,,2,measure_location_1192,station_sn_4,pipeline_sn_1
point_sn_1019,,,,16,measure_location_1019,station_sn_3,pipeline_sn_1
point_sn_56,,,,5,measure_location_56,station_sn_1,pipeline_sn_1
point_sn_22,,,,5,measure_location_22,station_sn_1,pipeline_sn_1
point_sn_1288,,,,13,measure_location_1288,station_sn_4,pipeline_sn_1
point_sn_498,,,,5,measure_location_498,station_sn_2,pipeline_sn_1
point_sn_524,,,,14,measure_location_524,station_sn_2,pipeline_sn_1
point_sn_1349,,,,6,measure_location_1349,station_sn_4,pipeline_sn_1
point_sn_41,,,,7,measure_location_41,station_sn_1,pipeline_sn_1
point_sn_244,,,,6,measure_location_244,station_sn_1,pipeline_sn_1
point_sn_1193,,,,3,measure_location_1193,station_sn_4,pipeline_sn_1
point_sn_300,,,,11,measure_location_300,station_sn_1,pipeline_sn_1
point_sn_1434,,,,6,measure_location_1434,station_sn_5,pipeline_sn_1
point_sn_1048,,,,11,measure_location_1048,station_sn_4,pipeline_sn_1
point_sn_646,,,,17,measure_location_646,station_sn_2,pipeline_sn_1
point_sn_1336,,,,10,measure_location_1336,station_sn_4,pipeline_sn_1
point_sn_58,,,,7,measure_location_58,station_sn_1,pipeline_sn_1
point_sn_747,,,,16,measure_location_747,station_sn_3,pipeline_sn_1
point_sn_1187,,,,14,measure_location_1187,station_sn_4,pipeline_sn_1
point_sn_912,,,,11,measure_location_912,station_sn_3,pipeline_sn_1
point_sn_340,,,,17,measure_location_340,station_sn_1,pipeline_sn_1
point_sn_334,,,,11,measure_location_334,station_sn_1,pipeline_sn_1
point_sn_839,,,,6,measure_location_839,station_sn_3,pipeline_sn_1
point_sn_337,,,,14,measure_location_337,station_sn_1,pipeline_sn_1
point_sn_844,,,,11,measure_location_844,station_sn_3,pipeline_sn_1
point_sn_1351,,,,8,measure_location_1351,station_sn_4,pipeline_sn_1
point_sn_1102,,,,14,measure_location_1102,station_sn_4,pipeline_sn_1
point_sn_1153,,,,14,measure_location_1153,station_sn_4,pipeline_sn_1
